COD_VICIDIAL;Calif_1;Calif_2;Calif_3;concatenado;Estado;Peso
2C36TV;Conecta - Efectivo - Cliente;No Interesa;Cliente Paga TC VISTA;Conecta - Efectivo - ClienteNo InteresaCliente Paga TC VISTA;;99
2C37NA;Conecta - Efectivo - Cliente;No Interesa;Cliente Aun no Tiene Auto;Conecta - Efectivo - ClienteNo InteresaCliente Aun no Tiene Auto;;74
2C38SP;Conecta - Efectivo - Cliente;No Interesa;Cliente Sin Medio de Pago;Conecta - Efectivo - ClienteNo InteresaCliente Sin Medio de Pago;;85
2C65SA;Conecta - efectivo - Cliente;No Interesa;Seguro Auto;Conecta - efectivo - ClienteNo InteresaSeguro Auto;;74
2C66SH;Conecta - efectivo - Cliente;No Interesa;Seguro Hogar;Conecta - efectivo - ClienteNo InteresaSeguro Hogar;;68
2C4MO;Conecta - efectivo - Cliente;No Interesa;Mejor oferta Competencia;Conecta - efectivo - ClienteNo InteresaMejor oferta Competencia;;94
2C68AC;Conecta - efectivo - Cliente;No Interesa;Abandona Cliente;Conecta - efectivo - ClienteNo InteresaAbandona Cliente;;50
2C61CE;Conecta - efectivo - Cliente;No Interesa;Cotizacion Enviada;Conecta - efectivo - ClienteNo InteresaCotizacion Enviada;;97
2C61SC;Conecta - efectivo - Cliente;No Interesa;Ya tiene Seguro Complementario;Conecta - efectivo - ClienteNo InteresaYa tiene Seguro Complementario;Terminado;92
2C62NI;Conecta - efectivo - Cliente;No Interesa;No Interesa Compl ni Catrastof;Conecta - efectivo - ClienteNo InteresaNo Interesa Compl ni Catrastof;;91
2C63TS;Conecta - efectivo - Cliente;No Interesa;Ya tiene Seguro Catastrofico;Conecta - efectivo - ClienteNo InteresaYa tiene Seguro Catastrofico;Terminado;89
NOTM;Conecta - efectivo - Cliente;No Interesa;No tiene Mascota;Conecta - efectivo - ClienteNo InteresaNo tiene Mascota;;75
2C5YT;Conecta - efectivo - Cliente;No venta;Ya tiene Seguro;Conecta - efectivo - ClienteNo ventaYa tiene Seguro;Terminado;53
2C15AT;Conecta - efectivo - Cliente;No venta;DPA Mediana o alta tensión electrica;Conecta - efectivo - ClienteNo ventaDPA Mediana o alta tensión electrica;;70
2C16MM;Conecta - efectivo - Cliente;No venta;DPA Moto mayor a 250 cc.;Conecta - efectivo - ClienteNo ventaDPA Moto mayor a 250 cc.;;68
2C17PA;Conecta - efectivo - Cliente;No venta;DPA Porta armas;Conecta - efectivo - ClienteNo ventaDPA Porta armas;;66
2C18RD;Conecta - efectivo - Cliente;No venta;DPA Realiza deportes riesgosos;Conecta - efectivo - ClienteNo ventaDPA Realiza deportes riesgosos;;64
2C19TA;Conecta - efectivo - Cliente;No venta;DPA Trabaja en altura;Conecta - efectivo - ClienteNo ventaDPA Trabaja en altura;;62
2C20FM;Conecta - efectivo - Cliente;No venta;DPA Trabaja en Faena Minera;Conecta - efectivo - ClienteNo ventaDPA Trabaja en Faena Minera;;60
